Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
World,"Gross domestic product, constant prices",Percent change,,,2.075,1.959,0.691,2.657,4.582,3.658,3.637,3.872,4.674,3.803,3.425,2.681,2.329,2.036,3.239,3.359,3.922,4.01,2.578,3.546,4.798,2.456,2.898,4.261,5.422,4.854,5.406,5.56,3.099,-0.083,5.437,4.279,3.54,3.43,3.535,3.441,3.265,3.768,3.607,2.807,-2.953,6.021,3.192,2.655,3.183,3.355,3.341,3.248,
Advanced economies,"Gross domestic product, constant prices",Percent change,,,1.327,2.006,0.233,3.188,4.858,3.722,3.291,3.821,4.783,3.969,3.056,1.59,2.244,1.334,3.339,2.917,3.048,3.518,2.797,3.605,4.099,1.528,1.655,2.028,3.27,2.814,3.055,2.728,0.318,-3.343,3.161,1.757,1.208,1.398,1.999,2.307,1.789,2.473,2.278,1.743,-4.404,5.197,2.427,1.107,1.595,1.889,1.864,1.654,
Euro area,"Gross domestic product, constant prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.386,-0.786,2.498,2.896,1.616,2.626,2.987,2.93,3.819,2.17,0.907,0.646,2.277,1.662,3.22,2.987,0.413,-4.495,2.134,1.684,-0.874,-0.236,1.389,2.021,1.863,2.618,1.789,1.592,-6.086,5.244,3.058,0.501,1.788,1.936,1.728,1.462,
Major advanced economies (G7),"Gross domestic product, constant prices",Percent change,,,0.926,2.009,-0.056,3.325,5.006,3.81,3.082,3.519,4.72,3.793,2.799,1.225,2.127,1.146,3.002,2.493,2.762,3.217,2.865,3.186,3.739,1.214,1.174,1.861,2.899,2.544,2.574,2.046,-0.052,-3.704,2.905,1.639,1.382,1.421,1.837,2.079,1.546,2.229,2.094,1.604,-4.775,5.064,2.03,0.807,1.259,1.735,1.748,1.493,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, constant prices",Percent change,,,3.756,4.204,2.151,3.967,6.586,4.333,5.53,6.521,5.462,4.627,4.327,3.75,3.958,4.22,6.161,5.282,4.852,4.653,1.013,5.526,5.874,2.173,3.932,2.787,5.256,4.153,4.846,5.174,1.826,-0.855,5.979,3.452,2.219,2.547,2.994,2.349,2.606,3.127,2.774,1.951,-1.692,5.275,2.811,2.303,2.554,2.334,2.279,2.203,
European Union,"Gross domestic product, constant prices",Percent change,,,1.782,0.103,0.59,1.71,2.494,2.209,2.662,2.596,3.794,3.598,2.694,1.451,0.992,-0.631,2.651,2.837,1.962,2.649,2.978,2.88,3.919,2.266,1.275,1.144,2.768,2.131,3.73,3.374,0.917,-4.188,2.127,1.875,-0.661,0.033,1.667,2.482,2.078,3.006,2.213,2.009,-5.593,5.356,3.228,0.662,2.068,2.176,1.976,1.746,
Emerging market and developing economies,"Gross domestic product, constant prices",Percent change,,,3.309,1.88,1.463,1.746,4.104,3.547,4.238,3.96,4.485,3.511,4.067,4.498,2.447,2.981,3.104,3.957,5.09,4.661,2.287,3.467,5.709,3.643,4.449,6.924,7.883,7.096,7.876,8.383,5.73,2.825,7.389,6.358,5.389,5.019,4.725,4.339,4.431,4.779,4.621,3.605,-1.892,6.617,3.738,3.734,4.262,4.327,4.298,4.256,
Emerging and developing Asia,"Gross domestic product, constant prices",Percent change,,,6.347,5.859,5.091,6.972,7.524,6.627,6.102,7.173,9.333,6.28,5.881,6.08,8.866,9.047,9.317,8.904,8.397,6.142,2.768,6.458,6.463,6.018,6.635,8.269,8.415,9.27,10.052,11.177,7.263,7.601,9.603,7.871,6.957,6.869,6.864,6.823,6.809,6.629,6.41,5.21,-0.618,7.18,4.387,4.871,5.209,5.272,5.194,5.113,
Emerging and developing Europe,"Gross domestic product, constant prices",Percent change,,,-0.866,-0.556,1.36,4.545,4.08,2.444,4.362,5.048,1.662,0.178,-0.425,-5.648,-8.722,-4.423,-8.254,-0.193,0.37,2.744,-0.744,2.582,7.448,2.7,4.798,6.156,7.81,6.241,7.366,7.161,4.295,-5.724,4.464,5.848,3.066,3.059,1.836,0.999,1.905,4.089,3.429,2.515,-1.721,6.8,-0.02,0.628,2.527,2.344,2.301,2.226,
ASEAN-5,"Gross domestic product, constant prices",Percent change,,,6.795,6.252,3.894,4.409,4.658,1.798,5.328,6.354,8.391,9.193,8.428,7.426,6.766,7.661,7.563,8.082,7.509,3.827,-8.082,2.956,5.466,3.413,5.114,5.708,5.986,5.374,5.527,6.25,5.401,2.547,6.865,4.81,6.234,5.045,4.723,5.005,5.142,5.48,5.378,4.871,-3.396,3.354,5.318,4.875,5.291,5.198,5.139,5.042,
