Country Group Name,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
World,"Gross domestic product, constant prices",Percent change,,2.075,1.959,0.691,2.657,4.582,3.658,3.637,3.872,4.674,3.803,3.425,2.681,2.329,2.036,3.239,3.359,3.922,4.01,2.578,3.546,4.798,2.456,2.898,4.261,5.422,4.854,5.406,5.56,3.099,-0.083,5.437,4.279,3.54,3.43,3.535,3.441,3.265,3.768,3.607,2.807,-2.953,6.021,3.192,2.655,3.183,3.355,3.341,3.248
World,"Gross domestic product, constant prices",Percent change (market exchange rates),,1.646,2.004,0.462,2.798,4.828,3.686,3.383,3.755,4.578,3.805,3.145,1.971,2.536,1.415,3.162,2.923,3.339,3.5,2.339,3.161,4.219,1.674,1.896,2.862,4.033,3.56,3.943,3.836,1.601,-2.01,4.179,3.082,2.492,2.609,2.833,2.843,2.624,3.288,3.188,2.485,-3.361,5.781,2.871,2.147,2.627,2.88,2.891,2.786
World,"Gross domestic product, current prices",U.S. dollars,Billions,11238.27,11498.28,11286.62,11589.05,12001.66,12531.04,14776.09,17013.02,19131.41,20127.80,23663.34,24504.03,25339.14,26051.09,27998.30,31211.51,32079.20,31990.92,31835.02,32960.33,34053.08,33801.01,34915.51,39210.20,44134.37,47811.37,51783.27,58461.91,64162.47,60782.12,66484.53,73773.48,75196.67,77365.52,79429.02,74944.46,76211.25,81036.15,86209.63,87654.34,85440.67,97076.28,101560.90,106181.92,111882.43,118042.55,124648.36,131630.73
World,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,13400.21,14930.38,15909.30,16934.33,18321.23,19579.82,20669.48,21981.84,23788.83,25630.20,27659.31,29295.59,33270.15,34719.28,36509.06,38640.04,40857.98,43242.68,44926.54,47125.48,50498.20,52878.46,55218.31,58589.63,63335.22,68426.92,74266.03,80392.86,84371.97,84583.96,90151.34,95701.82,100691.80,105648.96,109595.08,111857.08,116168.54,122351.47,129708.97,135641.45,132936.14,146607.92,161449.51,171548.57,180655.43,190126.13,200153.60,210591.31
World,Investment,Percent of GDP,,26.412,25.862,24.305,23.85,24.835,24.545,24.407,24.818,25.706,26.166,24.284,23.765,24.223,23.754,24.133,24.26,24.145,24.091,23.788,23.802,24.31,23.522,22.876,23.072,23.806,24.173,24.681,25.233,25.237,23.272,24.425,25.248,25.401,25.446,25.735,25.765,25.436,25.928,26.465,26.524,26.45,27.104,27.981,27.816,27.844,27.923,28.026,28.098
World,Gross national savings,Percent of GDP,,23.901,23.618,22.134,21.391,22.573,22.108,22.078,22.741,23.846,24,23.752,23.144,22.467,22.395,22.579,23.086,23.787,24.027,23.7,23.585,24.099,23.243,22.648,22.861,23.808,24.317,25.331,25.49,25.029,23.225,24.762,25.736,26.137,26.123,26.59,26.398,25.966,26.672,27.014,26.977,27.111,28.374,28.945,28.812,28.834,28.825,28.803,28.765
World,"Inflation, average consumer prices",Percent change,,17.291,15.076,14.193,13.375,13.993,13.705,11.782,14.542,19.52,22.847,26.257,17.159,38.411,39.392,31.14,16.063,9.337,6.518,6.314,6.179,4.843,4.575,3.654,3.887,3.799,4.032,4.037,4.296,6.341,2.772,3.711,5.058,4.083,3.621,3.216,2.731,2.728,3.252,3.648,3.508,3.232,4.704,8.751,6.52,4.132,3.56,3.379,3.33
World,"Inflation, end of period consumer prices",Percent change,,n/a,n/a,n/a,n/a,n/a,16.472,9.663,18.178,22.93,24.258,25.093,18.914,41.801,41.925,25.52,12.596,7.892,5.97,7.186,5.099,4.853,3.91,4.072,3.626,4.107,3.966,3.922,5.294,4.656,3.114,4.289,4.749,3.97,3.268,2.896,2.822,3.022,3.331,3.563,3.849,2.806,6.391,9.06,5.068,3.752,3.44,3.338,3.281
World,Trade volume of goods and services,Percent change,,2.945,3.234,-1.669,1.559,8.625,2.575,4.532,6.549,8.863,8.219,6.829,5.34,5.554,2.942,9.483,9.563,6.569,10.246,4.871,5.097,12.399,0.64,3.809,5.872,10.962,7.918,9.461,8.037,2.994,-10.314,12.763,7.054,3.112,3.45,3.848,2.91,2.253,5.659,4.069,0.941,-7.82,10.093,4.286,2.506,3.663,3.742,3.648,3.521
World,Volume of imports of goods and services,Percent change,,1.643,2.206,-1.622,1.659,8.824,2.259,5.284,7.192,8.849,8.587,6.675,4.655,5.314,2.126,10.296,9.569,7.068,10.099,5.31,5.728,12.558,0.667,3.815,6.096,10.874,8.047,9.29,8.297,3.081,-10.736,12.559,7.249,2.969,3.386,4.09,2.794,2.184,5.771,4.319,0.931,-8.194,10.345,4.695,2.37,3.516,3.744,3.709,3.621
